ts,dyno_torque,rpm,torque,hp
1551551063922557209, 15.298, 0, 10.170, 0.000
1551551063922957237, 15.127, 0, 10.056, 0.000
1551551063930833048, 15.258, 0, 10.144, 0.000
1551551063931539649, 15.132, 0, 10.060, 0.000
1551551063931557398, 15.309, 0, 10.177, 0.000
1551551063932474492, 15.377, 0, 10.223, 0.000
1551551063933268006, 15.495, 0, 10.302, 0.000
1551551063935076652, 15.127, 0, 10.056, 0.000
1551551063935094609, 15.258, 0, 10.144, 0.000
1551551063938232834, 15.132, 0, 10.060, 0.000
1551551063938821147, 15.309, 0, 10.177, 0.000
1551551063939667868, 15.377, 0, 10.223, 0.000
1551551063940847410, 15.495, 0, 10.302, 0.000
1551551063966034790, 15.841, 0, 10.531, 0.000
1551551064037670480, 15.274, 5711, 10.154, 11.042
1551551064116507920, 15.959, 5699, 10.610, 11.513
1551551064219108998, 15.453, 5783, 10.273, 11.312
1551551064318482562, 14.971, 5742, 9.953, 10.881
1551551064417974497, 15.555, 5737, 10.341, 11.296
1551551064519950554, 15.469, 5708, 10.284, 11.177
1551551064616091230, 15.714, 5715, 10.447, 11.368
1551551064714410205, 15.128, 5724, 10.058, 10.961
1551551064819831685, 15.642, 5754, 10.399, 11.393
1551551064921197555, 15.668, 5781, 10.416, 11.466
1551551065023147530, 15.774, 5742, 10.486, 11.465
1551551065124203661, 15.921, 5712, 10.585, 11.512
1551551065214527912, 15.894, 5671, 10.567, 11.410
1551551065327777621, 15.557, 5631, 10.342, 11.089
1551551065433245349, 15.311, 5696, 10.179, 11.039
1551551065517073283, 15.666, 5715, 10.415, 11.333
1551551065615709497, 15.410, 5742, 10.245, 11.201
1551551065713841812, 15.439, 5734, 10.264, 11.206
1551551065816120025, 15.579, 5747, 10.357, 11.333
1551551065914412043, 15.941, 5725, 10.598, 11.552
1551551066016995912, 16.116, 5736, 10.714, 11.701
1551551066115157851, 16.500, 5695, 10.969, 11.895
1551551066220934026, 16.259, 5641, 10.809, 11.610
1551551066315846327, 16.581, 5604, 11.024, 11.762
1551551066417264861, 16.440, 5671, 10.930, 11.802
1551551066516468888, 16.298, 5796, 10.835, 11.958
1551551066616664965, 16.740, 5907, 11.129, 12.517
1551551066717132198, 16.864, 6022, 11.212, 12.855
1551551066815653500, 17.970, 6078, 11.947, 13.826
1551551066913962600, 18.714, 6161, 12.441, 14.594
1551551067075446806, 19.342, 6320, 12.859, 15.474
1551551067115358217, 21.633, 6329, 14.382, 17.331
1551551067219419576, 22.041, 6248, 14.653, 17.432
1551551067315297844, 23.119, 6368, 15.370, 18.636
1551551067413716148, 22.842, 6398, 15.186, 18.499
1551551067517676427, 23.425, 6314, 15.573, 18.722
1551551067614229087, 24.000, 6347, 15.956, 19.282
1551551067716440010, 23.722, 6351, 15.771, 19.071
1551551067814934229, 24.189, 6268, 16.081, 19.192
1551551067917134444, 24.020, 6265, 15.969, 19.049
1551551068020702862, 24.390, 6219, 16.215, 19.200
1551551068122575379, 23.878, 6112, 15.874, 18.474
1551551068277368566, 24.141, 5955, 16.049, 18.197
1551551068314528781, 24.716, 5939, 16.432, 18.581
1551551068418369106, 24.377, 5897, 16.206, 18.196
1551551068515539078, 24.466, 5835, 16.265, 18.071
1551551068613513022, 24.913, 5841, 16.563, 18.420
1551551068721920730, 24.820, 5768, 16.501, 18.122
1551551068815911812, 25.349, 5717, 16.852, 18.344
1551551068920327367, 25.116, 5623, 16.698, 17.877
1551551069015445743, 26.218, 5613, 17.430, 18.628
1551551069115828187, 26.626, 5744, 17.701, 19.359
1551551069215857476, 28.785, 5876, 19.137, 21.410
1551551069316587783, 30.083, 6095, 20.000, 23.210
1551551069418238017, 31.643, 6244, 21.037, 25.010
1551551069514564059, 33.666, 6483, 22.381, 27.627
1551551069620819925, 37.032, 6562, 24.620, 30.761
1551551069721053915, 36.257, 6701, 24.104, 30.754
1551551069822566320, 38.188, 6711, 25.388, 32.440
1551551070014093486, 37.097, 6969, 24.663, 32.726
1551551070014119610, 36.472, 6969, 24.247, 32.174
1551551070143505508, 35.877, 7095, 23.851, 32.221
1551551070216115912, 34.671, 7161, 23.050, 31.428
1551551070317310078, 34.639, 7391, 23.028, 32.407
1551551070428463732, 35.798, 7577, 23.799, 34.335
1551551070515492637, 36.191, 7819, 24.060, 35.820
1551551070616954418, 36.707, 7957, 24.404, 36.973
1551551070714761451, 37.448, 8008, 24.896, 37.961
1551551070815045648, 37.851, 8102, 25.164, 38.819
1551551070916348560, 37.282, 8074, 24.785, 38.103
1551551071017544391, 37.103, 8102, 24.667, 38.052
1551551071117617304, 37.172, 8212, 24.712, 38.640
1551551071214486868, 37.653, 8301, 25.032, 39.564
1551551071316664458, 37.386, 8306, 24.855, 39.308
1551551071415231630, 37.844, 8291, 25.159, 39.717
1551551071523814248, 37.883, 8340, 25.185, 39.993
1551551071624356060, 38.952, 8266, 25.896, 40.757
1551551071714004250, 38.714, 8243, 25.738, 40.395
1551551071863098716, 38.844, 8216, 25.824, 40.398
1551551071917099597, 38.276, 8124, 25.446, 39.361
1551551072014963252, 37.864, 8143, 25.173, 39.029
1551551072115670975, 37.872, 8169, 25.178, 39.162
1551551072214251939, 36.858, 8243, 24.504, 38.458
1551551072325718998, 36.731, 8292, 24.419, 38.554
1551551072414852955, 36.577, 8363, 24.317, 38.721
1551551072516334026, 37.076, 8396, 24.649, 39.404
1551551072617162495, 37.317, 8480, 24.809, 40.057
1551551072717345361, 37.563, 8416, 24.972, 40.016
1551551072818059376, 37.046, 8345, 24.628, 39.133
1551551072919541239, 37.332, 8304, 24.819, 39.241
1551551073020925355, 37.890, 8297, 25.190, 39.794
1551551073114903728, 38.132, 8316, 25.350, 40.140
1551551073213086538, 37.419, 8269, 24.876, 39.167
1551551073349536065, 37.381, 8280, 24.852, 39.180
1551551073418440180, 36.773, 8283, 24.447, 38.556
1551551073521273371, 36.957, 8391, 24.570, 39.254
1551551073614654847, 36.708, 8417, 24.404, 39.110
1551551073715473691, 36.855, 8464, 24.502, 39.487
1551551073815120159, 37.379, 8485, 24.850, 40.148
1551551073962813339, 37.278, 8427, 24.783, 39.765
1551551074015862003, 36.891, 8340, 24.526, 38.946
1551551074115754545, 37.152, 8435, 24.699, 39.669
1551551074216485600, 36.464, 8477, 24.241, 39.127
1551551074318751643, 36.901, 8467, 24.532, 39.549
1551551074419926766, 36.627, 8390, 24.350, 38.899
